id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,duration,return_code,nonce
0,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,b327a3352bac6756b8e3202b447d3b9f788b14bad58dc653e276adb40f6e70d667f7a0369c2b433740fa2a648d490bcc,3d159b4ad2cf68180669e1fa72b614fb86b9420df0a42fb8bc1f875736999019724591c4d07a091095a137c8e72a0ae4,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092233,0000,2ab7c024dd17899f364dff974c3d828dfd0a886a126a24a1ddab6b27ada61534fc252b0acf795efafc81ec1f60d84086
1,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,6790265880ee0d8c3df469021a6888f74a95b7d04b152827ff123bbfd0b2f874d1d6c0ef585d0b4e75d0ef31366d42de,075ee543785d10146510f0132b1e298badc81798e4d1174338434abd623835fb435c5ade0780e0c4e1fdffa8d3e965c0,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092139,0000,ad34ec43ef5c2b34b22d05f5d54691a5ca1cccd25d462b357f22579aeaa6dd20f92f6b702f8c90d34e1918d200f631a0
2,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,e22fc5066a99c0e9386e98b77da16e800932434447afa19b53ef7c8b7e01b3fe0a78076b2439e43ae0b90ea3110af02c,d7767f05c9fe8f9dd222d50e594060b8afbb1b88e1daf6abcfe709e1b4b082939fc897e7955459ac309dd6f85200fe25,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092108,0000,e9628c806283fda7ec0d825ef47a561bb8663da0000d4955d4acfcbc704ab733c49ef528db9179d79ac5b45947280aa7
3,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,732264a1a6792fc9f27f2b498e5581b7a1dee12b3fa9c79622cc5a462c81e2b9b482dbb58bd0e98cf23496c4cd5449e5,f8c3add3ee9199544c7e5e05faf544d65efdf26267ff090a3c047f2aa261c93c0bc6ea34808e80ad8a7ccd1c87bf8aa3,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092303,0000,cbd573ef8e2ad0e1849fea49071f7abed6a45afa2f75ad52ad49ce20702d93165daadc4061a08794697d5bd22b3e05f1
4,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,f51463ca573302abe362b95bc88fa0195a497e358f4d60ebc7f3d57fac327c2b50330b4110e58b19a84dd49b05345f04,b1cb0d6dd47a466703c87c55bf61c9700cae9b8891d85b589f4ec99848e94f32bcccd4c6da743174c4851a55a1e5fa10,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092084,0000,e911bcc07b5551376f623718800f61210a2a428428d9e1dce1808ca24fb93fecf198eef5e5cd821d0be44f61f9f6f918
5,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,a8901a3808ca51ba2e58cf5ab2eedc2edda0686c917fdae81272fa62b917a8add3441b8e2900315b6ab3a9093a1524e4,86b36907b75e7dfdde2b90f6161ffc13b716462dc2e682f6652af8d306b05554bbfd4dd124cd385c203fdbeac386d6da,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092276,0000,deca2cbda3662a5cee2e3aa3eca236fd2ebc847ad7831469ee063a03514b3352dcc69fc6343ec812bcf206be24c7cdb2
6,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,af48e60e6cfa3b04dd9653194aaa6637b659311a26fddc41a5f737e0707c68350dca5e2e746150eb44cbb4e7f21d5e9f,dcccb6804d4ffc8807af11e5547a5292b723ca331fc49477c0dc535b4c155ab570ee8e775ee1ea855ce42c4e17f9379f,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092169,0000,b04a7844e5c3e9cc82063a1ae96df31e5b3a26b2919b6f0cf268b3847acbcc7a0c0ef648f6973929d3b10a4b5d4c94c6
7,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,f38e788239e758e673ade6c60b240d01fc8a4a022928202432ca1b083f013fce77fadf539043f25118579d0517ceeee5,9e7b5d020136fa871575fac6042b995422cfe5b339a72f4a868524d945bfd4b8dd81a3c34a0ef614c2a166ca09df5a84,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092149,0000,d4210fb3801a269f6c97a41a30c1ef47cca99313aa80cfe0125b3ef46048363e2aeb251a391f1102c2de2e10bbe8b11b
8,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,97f7989fd4bb26d2102c6cd7a074c5ebce3b758e81a65e91c991c0aa7b7cb4b96919e7a58a4a6184708efbdcd1af734e,7328511f8e45bbd8c893b26221d35123a6508beded92e43b5555ce05ad4609a23fa7c14ca0f1a2363a9128e2aed86526,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092086,0000,37b9d4f7c32c3dd68d20483b728ad576966947ac717bea2a164393819d364be33a7b9fa2c6ad194e004344b94eb35f12
9,0018,0004,0000000000000000000000000000000000000000000000000000000000000000,da947179a73e01383632a6a9c3d8ee262c6ce554fa4981b45899c7424862a8a432294262556c43efea4d425a51d14ba1,eabb83b3b032dc26dc8daab2e925098c9938921591d91e41360df4a8fcd12444d29215d59a63efed484a1b30253d2ad9,9198592e008e129d46584989069d4455886ad01d467d67119870111ae98f26687da9656a982b7c10f2f815f98d3fe4d2,37438d2685420b5af1272757318c9f03f5e146474320188f20e19298ee76dce899aa0ff9047654f58f2ee490a0a2e840,71ab4fda81c6cc4fe5df8fba04f8efa157b65498cecca8a27520a7a339ed534d0f40491fbf3be33d5147dbbdfe4871d2,0.092194,0000,b6b9bd061ca537d8e6383e1ce6c6776a86cb4d810dc5316c5b602a2681f7360c2e58755b5706d97da4fc0bfc2c2be006
