id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,duration,return_code,nonce
0,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,b1761caafb258499c84c8aeefd61ee650eedc59b8073c518df116f53db43fc02,937b24898c5876bb1f6cf9eaaa7a2db0fdc0a499eaf9dca5a96567957fed1e10,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.055085,0000,87f4af060f001331817a33805a97243b864afc07977eaac909f50aa8a757dae
1,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,3ab152470ccaf26254ba7aef21c6a585315621f6cec39c9e84fa84625d845f6c,e859f3f87f58803c34d10873370b70f216c5d995b32e42b62446c42d773ecd9c,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.053870,0000,7965cb7f7b93790fab944be7ba6fe1f2e55bbf26cd3559dc8156094ba6442a76
2,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,2180475e63d4c8acf22a382c4d1021ca1a8ec0c293037557999a821390da784b,9e76d5281c32be86edb65bc5d0f5d9a535eb31d60f6f0a40ffaf7b66a17a309c,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.054426,0000,9f1124f45cc6e3c9229a0861eb40fc2d450aec1b78d6520e613f7b9829c5a525
3,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,b71a9c54a4190c44c6dac33dc7cdabae1294a320835890677ec67b7edfc27b4b,a6e603636befedefecb92833cc0770eddeff19640970ee6f7e0c9421a5ad6399,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.053419,0000,4ac69a59d87683d5ac2ef967e4d778cf4d52ce4853d70de7bda7e81c3aefbaf8
4,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,64912c717e68245630d6b4fa3ae255a345b164b9f0d6b8a4cee7bc5b8f9cf43c,5a1d30870b495c915823914c057e8e042c8ab3724a33a3f18bcdda39e9a956f3,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.053905,0000,2414c5a1c3818230294c7454530cbfe142ddfec27aa2634f8a0dc017df597a23
5,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,e5203edb3eb7931eec7939c13b3f6d0f545569bb3e678f4fbb163d605f9fdf53,44c66b15722c4a03e32c252256a097f0d63d44e1ed951bb09e8f2b331935d4ed,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.054105,0000,59a26875201a78800e2152fd18f183eddde6c2e4f4e3c229f4ffa6a27484f727
6,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,f50754cb30ac07eb393e9314428300c0f23c53d81e9fdcf379fc318fdeda144c,8f4f65ca752aa2dc25842f42a29488fecb368ec84319e8ce758c3c415601ac54,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.054090,0000,d50065c0da5306d7a107362d6523044697c78d04b3e43236231e0d511f24c696
7,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,723891118dba6cb180cd15c6a1260b0bcaf8d8095f4a2009d39bb6ec3f7256bc,a317fb15bc6911ebd80f54db49dfe0eb10280e8105acae90520f70816592ab42,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.053979,0000,6bd82d4d66dcbe0ba01ed0be3318443a3aee9bed3a0fe22421f927744a6bf3b1
8,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,cb11f301dfce4fa7b79361860863962a59155b0fccfa0057b51512fcb163c9be,9532feeb75c16cc77ac069a44124e5d1e6aec1ac2b73f3b3d28d8653470f15b9,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.054037,0000,c5de7721c5388a60d4c3862d4329c7276dec04fe136b0025c1f49579b0ec0e63
9,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,283b8271d6d650d37d0abe28638ce23c45a274a587ef4cf7b981ea1390caad50,c2d770bf141583224e7949445059dcdbad989a337bf8f41d0c682ad7376555e8,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.052976,0000,454a048379d48555a417967808eb97e803e2d6535603876f30cec49f31d8fbd
10,001c,0010,0000000000000000000000000000000000000000000000000000000000000000,5bf2a7df5ebe6f754129b023bd7215c2feaf11ee729eadcfda7a7a5aee97068a,afb016935f191886b456693318c858b0db518e5ce22ae57ab5b0fd6e2284f27f,6005d4e9303b4daf2c840b93fa90b599319dcfd8af1a11f80135d5ab8bc1dd9c,64af6e85231cd066e8f021233867443c3f9e4288ef5dd8fac7eb26cece91ba25,54b4aaec850bf1a761263518758902d1aa4c32f2a20be97b58e0ddbcd5bb8659,0.053916,0000,873083a6aae5a9fd1401531f2b95459b733c71eb9e103da4dbf56ab93224ee63
