duration,duration_extra,return_code
0.020791872,0.000000000,0000
0.020999882,0.000000000,0000
0.020982132,0.000000000,0000
0.021066384,0.000000000,0000
0.020887694,0.000000000,0000
0.020972743,0.000000000,0000
0.020972799,0.000000000,0000
0.020989471,0.000000000,0000
0.020961698,0.000000000,0000
0.020974182,0.000000000,0000
0.020978550,0.000000000,0000
0.020958142,0.000000000,0000
0.020832494,0.000000000,0000
0.021117898,0.000000000,0000
0.020822752,0.000000000,0000
0.021112048,0.000000000,0000
0.021037774,0.000000000,0000
0.020950199,0.000000000,0000
0.021043745,0.000000000,0000
0.021039048,0.000000000,0000
0.020952559,0.000000000,0000
0.020980796,0.000000000,0000
0.020984477,0.000000000,0000
0.020989333,0.000000000,0000
0.020992377,0.000000000,0000
0.020965580,0.000000000,0000
0.020977802,0.000000000,0000
0.020928265,0.000000000,0000
0.020962058,0.000000000,0000
0.021039751,0.000000000,0000
0.020980186,0.000000000,0000
0.020979322,0.000000000,0000
0.020983742,0.000000000,0000
0.020977312,0.000000000,0000
0.020975125,0.000000000,0000
0.020990336,0.000000000,0000
0.020969231,0.000000000,0000
0.020981017,0.000000000,0000
0.020953359,0.000000000,0000
0.020916533,0.000000000,0000
0.021026718,0.000000000,0000
0.020983207,0.000000000,0000
0.021000116,0.000000000,0000
0.020958198,0.000000000,0000
0.020977050,0.000000000,0000
0.020972467,0.000000000,0000
0.020947454,0.000000000,0000
0.021015006,0.000000000,0000
0.020985040,0.000000000,0000
0.020977985,0.000000000,0000
0.021143077,0.000000000,0000
0.020955505,0.000000000,0000
0.020990031,0.000000000,0000
0.020808931,0.000000000,0000
0.021135150,0.000000000,0000
0.020807870,0.000000000,0000
0.020991770,0.000000000,0000
0.020969263,0.000000000,0000
0.021019467,0.000000000,0000
0.020945734,0.000000000,0000
0.021024446,0.000000000,0000
0.020924227,0.000000000,0000
0.020979231,0.000000000,0000
0.020974452,0.000000000,0000
0.020999312,0.000000000,0000
0.020563770,0.000000000,0000
0.021277251,0.000000000,0000
0.020944340,0.000000000,0000
0.020959098,0.000000000,0000
0.020847119,0.000000000,0000
0.020735973,0.000000000,0000
0.020496049,0.000000000,0000
0.021011465,0.000000000,0000
0.021010060,0.000000000,0000
0.021082902,0.000000000,0000
0.020923586,0.000000000,0000
0.020923356,0.000000000,0000
0.020886037,0.000000000,0000
0.021076779,0.000000000,0000
0.020987491,0.000000000,0000
0.020992033,0.000000000,0000
0.021008942,0.000000000,0000
0.020960563,0.000000000,0000
0.020980725,0.000000000,0000
0.020995282,0.000000000,0000
0.021007741,0.000000000,0000
0.020951145,0.000000000,0000
0.020988021,0.000000000,0000
0.020947875,0.000000000,0000
0.021021545,0.000000000,0000
0.020975995,0.000000000,0000
