id,n,e,p,duration
0,ac4adf0a12e31e140269e15030f02f4f48d927d350a7cf6c5a501f40f5fede0958dcabe97065566b4cfc80b69205e9a3286425fb6a64d0ce2ea8c90b8fca6659e0810020d72574fdc65de97ad7d8245c06cdffc2c9e084d534df1cd672b573d3eab134ce593710736f828407ea65303a8040105cd071273f6be4236eeb900b30c12a7015bd6cbf9a393d97b30e454ee7253570c4d24ea94b217720a1fa653b084244a030dcefaf1b9be8c76ff6869da03d58a208410f059e2a71708558a72e62426ea0d8b7276ddcc0e1b0d07ed81bf215b6aef7a6621ec51b22ffb43d300cfb194f879b215bcbfe14a19a365f528a8e5b2e0faed69d5eb503e09e065fc0a73f,010001,d3e48413f4920ec52d8d6c1da2ba6c87a399624050023fb14791cf1a353c8c5b380558ca372298c61e1fb1e38d1a462194272e676daedfa63cf7421347df3ae0d5a4e54fa69bdf54d4594f99efe7780a8dfafadcb3e44f3453fba91f390d6c2b42a100a5e21faa23ad0aebfd2d200da6f6583123cbf1031f872ca789e0cebe43,5.972399086
1,dc2386754f16d863183d739e060ebb4769fddbbd3c358a0f7cfcfa42991469c0a97cca4e039cb5f2dde9a24a12cf0e8bb88b12599fcdbbd4ed13a31a59acb3bd66c4f12a7639b635677640bf69673f2eb6298817d09cafb8f616e19f641ff75b8c05908e57ebcc432b8513508425710245c0863085393c4dc311ed596f5434aa9bbabd995bed34504cde070a6e6719ce416ffec6368debc9dae57397538b6d6248fcf6b0d547312bf6b968143865e442e57103e416549191a9c3041c4bbf3fceeb1d80ae5cd368024cf3770685a4eea6f2f1687768a80a480b8320862312865bc4646c06c4911167b9413ff39ca22dd6a3f1d0f86b5ef6408937db68c05fdc81,010001,f84002bade89b7a51209de0f09f5368ada7be619537f8b4a9398fddd0773eab3703a2b7b99b3206d1f020ecd1e39e0ee6dd4c91db67e8f83ae6fd9b34c8a2e74543dc1f50ce133c6ecb65a8f68c4591598c3412a471bd94119f4b0bdc60d9a4253c56101491c673f9163d783a4126af05db29a924a2e8d82eab2bfcb13f0dbd1,4.718433557
2,f75950e043beff271c8ff2c372dfe6e88e8223c798aea418abdfce923dc51c07c8c62d82166816d5e3731ba29e586255684a7f01106c34b6d6b9dcd523c2cbe82bc9bd37f87e662a53a2be5b586573e527557dbfcd772ffcad21bd6a8b66a8e50256fb0ddcad5acf3cb4c0748d56901ac330f8de22b65aa91113adb9cac63a82b8ee2216d3fd8e23f6eae8d427e3407e42e2979ea78454cf5a62fbd44ef2b1385ab5857461081c6840681ecd23a35e2adea375d975e0211111a4126287924e5d73518b7dc191cb0b564d84bddfcb0ac99e9d066443b0135500061046c7b75cc9a519390b8f588b4cdbaa0971c8f04c8caa28967beada42de896076a2115dec97,010001,ffdf5cca42dd20a011a5d2ac32be892bdd15200c0b8632f074a0ebc469bc8a062bd0e1249a52c2fd8ddb57df318b68cd0b8aa90fc890132c6fd75288849af65ae639bd19018b0415199c5c4ddb5a2e400a098cfe3bcf2b733cd0b8d606fbfc3cc999f4e1ae6f7e3ea624e09957583c4df6fde54d6c90131a2c02034d191fb269,1.071050229
3,d24aff7235f185caee49127a4e248e39461c90b669ff4738b0fe6966727fa0bb340255e7e9c05ff77571709d8f5521b54d3efa57ca3c28037b4d05194013d9f7347086b7232fc5d3d9700db2619c486a5f5ea89a0fdafad944025fd09ba7520185393d39d54cd157ae7d2ed635e74c562a2b827e0a88f1371bead68573c18e8c8fc96f17f2d0745eab51ee5064d6bb72567a2d9e5ac03b64f9e110bbfc4f4442073ad7e510bf2b229ba9c874315050e747e1e0ecdeda450c855f0033d15b96697f0fa6cc6b16b4f7e37bc01e25c9deeab0b14bda144627aab5c1b0d267378eafd2394801ccb2137555a47c296bd68864e6d73f2ee42089ee5805fe98c3bc7fc5,010001,f99538ec48f0617c5d31acded87293d37711beb9d6dddd4f91df56c8dfaf3d5e8adea00bf17644d6a0a426da3ad40f9d96d420882a2470532a700bfda84b5eda0a496037eb21dedb7ea49d18136c801a70a29aaf7aae34a678b684bd091bf4af17716ec8714f0c0b5762ca2fe05f80a9175818e5a1faae12619652571da6bf67,1.042395567
4,b4d21d99b46031797c2d6e97744ce5a3dd2c502e3827e84f275f0e6b0620e1ad243da52abd8e8015769da1b62d0b2e6ccfbe7cb90b5e0803107591e98184fa44fe1b3062dafe09845ca453eaa02bb0fcbdd99bfea6b8f7843ee1887f983a50e750fdb5f8fb843d41fdfce149aff4d8da111b437b05584578ba2a6de5ad3349f931dbca7d7e7de8430efe4528e4db9e86d665115fa10c8144154c1bc669da4ea49ce4188559504952e51f63cd098ed64a024f5d11e5bb5722670e5410340c91cbf3a3b5865fc9e00439f07bf5db88de3190a9c1cc050d769f0a0bca2082a4d0363429fca56e1e2ad3b86ae364f79466a0ffcbf5facd177dd8e19bd5c9e07bd67b,010001,d8e01337dbb65e7cf6a46ac16a01d47d16287ef268e5a52d7f1792cd49486031c492f6a571eba80ebae2d3128ba95e0a3c4eaa1ea7663fbd0705a79fcca688f1e005a05bc4f7bfcc404a6242bc153660d70a3ad6c739e9c852353d341b30fa80e11207cdb3937c4bb9b3900d7839fab7c3aca9aeb3042adeeb838195f3d2127f,3.046389826
5,b3390dab7e2a8d44604e51a025da79773b1a83c11b86ad3419645dfc7e304fe19198b83395db62387e1e211e011da4d72e4bdf01f9e58b2cf19bf13362cc428ae225ee97b60468b13f530e1e664ab281be2a9cd253a33ed01471344939a34e37142b4257d1b78561d12e09520f20f31e9809ad44cf1bcf11537e5db5cc9ce5c5d0c07eb196db6a46c969c27def4de1230091bf0b9711e5ff2f4098a8643d1b39ca9346e2cd2e6ad60f11bbd9b482533fc391161156f6c1f0fd843e19560830789b21aa911fa75d94c6619fcda4375254f79941bf3e23a5de3505b79b0b5dd73a2aed492f76f0d3825531ecc59f005c1710c09c66991c713893d31bd78d154b7b,010001,e0ebd2cb05c5515bd551d5041e01a683e070da35e1965c2849e04f995680079dbc095f0ef6dea487fc25609fc175eb460064a238a8cf6c5a924fe558b6474cd85a2c97b57086a571407615a33411ccd4cd29d9ebabca531db27b9afdfe152590951e811c3e90df4cb5c4fa8f128b7d7acb5dfe2ab940ea94610f13e6609013e5,3.678438337
6,bb25a673aa9fac621760ea2cc99bf05da478097adce50cae0359567af52651cde6dd1550d78a241240aa387c83e6c99336229621a72d031f08ce29e9aec703de7cb40559397b60c600beec6244998148a10c286d1e7299df423bda985ea2e70d1f6998e096d2b7e8e2063dd3f032c35d09b4899bb81b90ae1cd65a40148376482dee4aecde10b54dc55204704d3e023ca8a44de9e45edf880f46d057ac939b8436bca635ca9a4fcf4b0cccc4c1fa95fede24bfd9a53caade170c8db8e2fd6765a8056ed8dc009ad68e81fe7984699f766e7520e423a98709316a2a6dfe36d11629a8d7c8708624742a32d1c95870949e4c4114fe197faef7595e64f2e3efeda5,010001,db28d2d2437029e618123ccf3bfa732eced679cb2a85ecde0580967c16fd3ac5c0061f86a065c261c7ad98c35f1b35c1262be076a2e998ade358b4658d9ebf0114f4cae5c9b04696b1c73307761c2c0acaa1e470e00a8823301420642ad0c26919e11842abd1fb8dc293d42cf463bd24c7d6eb3984d2f5c326d709460dc4b9dd,2.707285565
7,ba8f7b802be5e563e7616784699423f3a433766df9177ad6198e77dda607702f66381b016db9627fa72a69883bb3b0d001ed775da959e4e98a02dc937325190caca1f1b7159f5bb37aa18a443c7c8198de1e6212dadcab86989e9f9f7a974f1e147ebe4e316fa4c5546b41ec9d618269eb474b979172234d5bc851f92d30f6db08f755e4051bd58667bb30af344e17ec7261623acd3fd0ec9e9a56eb8f0098fec7c36f1de6f147a642cba48f5869ffcbf90d0a80343424c2d0e689ecf5e1d12b2ef5b9a8970446353c9297046a446a289711add87099eed5904a6828bb5518a77e88eb73f8f0d94e52bfbd5ee6cf1b41f737114ddf910e1297277071187981db,010001,df2149b5916d01b8aaabca32504bf126e4f012f8fc5558e2fcafda00d9a60dff7076166e8fa3450b53b4aafa537b1557c7db8e44c5eafde7bbcc78b0f6c4be05fb6b24f47b92dd1edabaa39af817dfb5aea29e134127b73810051182f36ac7c0daa4547c36e4d281a357468c34da14621e21ba2bbb6670b1e5a95a030daa020f,0.299403868
8,ad03eeea111fb9c4758ffa519ca577f5a5755a9e374bcff92a7357faa6f4ea1510ab07a8cdcc7fc4e0f293252a279ae5127e66c1b446384a07fbbe8ec7be2244c010db9a1aa33ab3ca76292c5eec704edf75af43a49e01979c3d682ea1c3d422198d0513845d5aecebe34f241ec657585743433d592c0a4d592e413489d36a5f0e1b617c2bbbbf10951bb6ed3c4fb1b6d5023fe78ba223cb25dbcd64c1aeb6223bf2585280c780715682e9b8fb6efe1756d0ef49f050024c41484ffda424e78f2b706a2aafac8a3d31d4921c87f02a1fa4347aecca95528cdeb266cd9188b36b5ae2693ad60ad407c77fa8f10b7ac49ec6353e0d327b64fb09e7f43eb623534d,010001,def3f3719c52b41fcabf819135f651f2db1237214c7398132e6789dfb7d192f89301b0a30bd58d001c8f8fde49c8e647d3e91cb5dfebc9d8cc1e865a73389459eb221382f6a8cd7960fc5c75ab33494c5d40bdc2ca0ed513fb8bca9094c8e05f6b050872dcc2ae57f487328774c6f94650b0ebd51a3e3da4a3c3b06f8a8d1e17,0.524585427
9,9f2990940d9d7ba5e9795dce991cd8a408d94042cbd513907208124604273c56ec96f93c5e15b187699ca3291654a376fb3c5b19d3aa7b8f1cf6644fe07b8ac7bb80098a07af51e9030d58a7bdcc0f0ea5d390e1833d37afc91e92f9c961f123e0ea6194328f4ed64790d84988dc211e1f316ce6738093ef86800c6704fc180355376d9c9c207dd2bf3445759b24793e7f3a5a0eb9a5702bb8673c52cc7a5520a9baa20a83a90b0cfca6af648de08db5bd6d60d4fb20486267c7fbd94f3f4529126028e88908a5f39f640fb0db9e13445a1873f527e0afe7b62dd4e5d679eef2c879158d37b523f0f7913ce64026e321ea66e232f2090d4d6bb735ac4b87a0a3,010001,d2b613883d7863f4679c28d2ee95fe1b69cb41c551986cfb0e3b73ec00f8bd7e1f418c718962f5690403282ec26193c5ed461bb486601635fc809b00c992103c0ab77e99e15e2b83a13b30dc19a81d626f89b27af569d582ef4023d1ab5e44a89530af3ebb616a4f9c5f1054a00e7a1c7def128c6ce048c63a42ed648a54c783,1.734401778
