id,n,e,p,duration
0,cbc1f061e3c5fd7c37747bef3e38f88d015270979675b486d3f4ac62f9c86322474151dc764fbdd78f6cce3c185ea5060ef7665b1ad0952d5c4f2314050de11d7353e3e47e6122aacced080a2072b66783eeb78dcea07f426f5be80d659b722e18abbf433dc3a4cbe8fa6a2ea07057774da8ec89ba66aee3347de78a8803144f,010001,f4dcba1c307ae140f364261831cc81e42683445382fa0f21b8df28a03d6d2e69feba54a8ce3dc6b7031739bb19f347f9cee56a4866b62fa97d04b28807bcc90d,2.204691280
1,c8d404a00b21e9290165b5181af67e8ffad3dab4ae81c041456dad787290118dfd146a98bbf6bccd84bdd0480b73b29af1df60bc2da6fb7664e0f3197f2b0a0d69231433c492a2c93d08d5233ed122bbec294ed17a1ce8b20492558355b64f883ca22c42d6b8bb51813c37fc1bd5ca3e4b70863dd5f3de97e6437e38803296a1,010001,e531f850734bfe1de1d5e83e3702dc1098d18b47fa561f483bfc93e0a11446ac5cad134f0828790dfafa62e0b1a0234208c404e35155101e632a86a1c1d575c7,6.519520158
2,c845621706e82426c3187ddfab12582457e176dd115a143b9c45ff4e887a81bf337ca2a8e66cd590753664c689f870eb56d8a83b9f27a7f5bc0620884db38001d99ed85455afe452cc3e80cf99fd0205887f891aed66eb578eced49560cbddfc35752598813b1fcfdb57faeebf41e8315c4cc874a4ca877bd8269d70ba33756b,010001,d07a6ebfe23b608cdb50cec266ae1ded28873e2c93a17c753e65004c4cee3932a93037a6545da9f9ef32d9554424cf97d6bd3d0af30472fd28434f9ea325c623,1.619535536
3,93c8dbb867e35f2feaa5119fc1a6ae85f2df32c4795c2456420ad05f652232912bc0400dd046f10e7d9f81c41ea2d166ed7443b190955288351306b040edcb00a44955b1342297498272646e5fd76561644f442a3374959aea2bfbf862dcebffe6bf59956aeffb955e42655c9b90bcaa91990b269bda2140da232df1816396a9,010001,c04951fe6464136626fedc4cc452219ff7549eeebe6ab92d8a9c1836a21f24a4072134b2c2388eb00f17849259ee195b77e12b447e5cc8404310459b0cce3359,2.611344754
4,c04c8e3b47c3be1abbd4b90c76b13716dc1d9a6e7e056e7cf5a1921e888aaa715851a5fee4bfe96dcb739982a7938805f385c5b85653e060a8fd10e80ded6c9db2d577959470a9e4e688e240f6eb677f6de6848f7e1bbf745ec049c8a73155b3eb07faa70604452be2f90554884010f84b9394a825dbdb78d8ffd24a79d430d5,010001,fae3bd19ba65425c946dbceaae14d7c2de92b3aa4760adbb3123d3b909aedc92e2e7999860e5cd5cacfa529404ab705f05ec819e1300a36270abc20888ffa1ad,4.122420710
5,e6297e6fc9a0c9c5328f512772ee452ee05ae01059b1c5bbe19d41fd5643d417950b56404df1a6d67dbba8c14d9f5028d3b38e24850332c43ad83f3350271cd879adf1b8783fef2404c2dd05cb825506add78e1955d6c880a768fd6a8f05142724e3e69bbb736e949abe9b33bb7edf05ae18d7563de0bf59e71f5bab7bfa4ca1,010001,f9c3a7869e06fec47a5da93facb8937f0ded27f841d675d4b88180948e0f3220c0c65135d75b27dc15e5d4c5b47780560fc189a445298fdb0824e7a819265653,2.623418959
6,bfd49c2db1468aed6f1352ca4b8e02fba4bab7f4e479cf93a5bf0084e230a0d414319ec40cf2eb6fb48b070f10d8a8b07ec727b0c273c73248ae84431b26fe8e87e88974acfa5e992ac732a16563edd83d6b1ace35de9784d5ff4f98682d99f4996691125871f3dd1bcddfa607f2d23b3dc2e52ff937551fc95ce644637811c1,010001,f9eff3d9cb2695502c4222d106c0c3400455727bb1842835ca6e2e192fe6158fd1898b35a01a32d0fe0b31a997ea624e8d939dd2e149ca31739652b8c962fb4d,5.080770756
7,aab457c51ff25dad615c905f46da8feaaf89cdeace1ac3ae7599d501f0fd3edfffcc44b33c9278317d4f63cb2960a6d42b4964f7330c6dd0415abeccfe8e6478344b5199f81d9e2f5c217b42c2631fe3b0ee293d9a8a9a94d84f78a2c1b14ba878f5f7b4fcc191bc4cc9063fedfd4f6f9929a107abcf486ce08bdbc42e1688c1,010001,c214d896ba557bc7340bca9ee2ed933a91593a7025482fcb99d0716a125c83d6d4dc7ff7033ef0253416fd5c1cafd067b7e15792b840a9393b745d3a9c6601a3,3.589523061
8,a4f670d5329d5cbd3c67d423bf8fb77b152c7f9d5699279d9f0cc1c4abbe81dae0695f821d784704b919eb0e6303837a238e5f899fed5a659c2a8f92abc33037d1f6562b9b097b1b45552a653d9e220d39a9f98cca4e6aace03c5b6add3b0ef5cfd58fcaf67c6f5159de1bfa86a37974a6502d1c643a6c1d1c98ff2a2a0e6d3d,010001,c895e9d4f7d915fa20d5610a3541f003e6c794e36f07e2206a9d8f5484c1f85d9659e22b19d1150729f5cd4a3efc553bf038cc99c1ef0aa0dcb75290fb9d446f,6.234302675
9,bb1390ca6b9e2b48a38c10c224b7086f1d2d9b1e2de2cacc6b56b539df101757247f29d8700d64b07f55fc06ffc0ebdf7a5349f93a93c6eb6ad90ad7ed22b7b73758e63a11474a42163802353b983d1c8284eddb1f7af9025bc91ef3dc66659cc27f9d366fad23029d37b69e0cb2487c4847157dbdba6696a3cf391650b42fb5,010001,ce0afca9e0f6f1e896a170fada91228c2d66731e97caf090c7c30f1dba9b551dda23fb1882a74bbf039077cdff4279f8aae18fefcb5706d24045a0ff6e7153e9,3.536534911
